172.27.0.1 - - [03/Jun/2025:19:52:44 +0000] "GET /assets/Images/BatistellaLogo2.jpg HTTP/1.1" 404 124 "-" "Mozilla/5.0 (Windows NT; Windows NT 10.0; es-AR) WindowsPowerShell/5.1.19041.5848"
172.27.0.1 - - [03/Jun/2025:20:02:06 +0000] "GET /assets/Images/IconsMarcas/TopNutrition_Brand_white_vFF.ico HTTP/1.1" 200 129950 "https://www.batistellaycia.shop/checkout/payment" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:02:06 +0000] "GET /assets/Images/IconsMarcas/CariAmici_color_logo.ico HTTP/1.1" 200 159518 "https://www.batistellaycia.shop/checkout/payment" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:02:06 +0000] "GET /assets/Images/IconsMarcas/Fishy.ico HTTP/1.1" 200 47133 "https://www.batistellaycia.shop/checkout/payment" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:02:06 +0000] "GET /assets/Images/IconsMarcas/zimpi.ico HTTP/1.1" 200 137342 "https://www.batistellaycia.shop/checkout/payment" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:02:06 +0000] "GET /assets/Images/IconsMarcas/ganacat.ico HTTP/1.1" 200 51806 "https://www.batistellaycia.shop/checkout/payment" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:02:06 +0000] "GET /assets/Images/IconsMarcas/ganacan.ico HTTP/1.1" 200 54974 "https://www.batistellaycia.shop/checkout/payment" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:02:06 +0000] "GET /assets/Images/IconsMarcas/kenl.ico HTTP/1.1" 200 197534 "https://www.batistellaycia.shop/checkout/payment" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:02:06 +0000] "GET /assets/Images/IconsMarcas/compinches.ico HTTP/1.1" 200 180638 "https://www.batistellaycia.shop/checkout/payment" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:02:06 +0000] "GET /assets/Images/IconsMarcas/exact_color_logo.ico HTTP/1.1" 200 159518 "https://www.batistellaycia.shop/checkout/payment" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:02:06 +0000] "GET /assets/Images/IconsMarcas/9live_color_logo.ico HTTP/1.1" 200 159518 "https://www.batistellaycia.shop/checkout/payment" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:02:07 +0000] "GET /assets/Images/favicon.svg HTTP/1.1" 200 309 "https://www.batistellaycia.shop/checkout/payment" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:05:43 +0000] "GET /assets/Images/BatistellaLogo.jpg HTTP/1.1" 200 11132 "https://www.batistellaycia.shop/checkout/payment" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:05:43 +0000] "GET /assets/Images/favicon.svg HTTP/1.1" 200 309 "https://www.batistellaycia.shop/checkout/payment" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:05:43 +0000] "GET /assets/Images/BattistellaLogo2.jpg HTTP/1.1" 200 4742 "https://www.batistellaycia.shop/checkout/payment" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:05:43 +0000] "GET /assets/Images/favicon.svg HTTP/1.1" 200 309 "https://www.batistellaycia.shop/checkout/payment" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:13:59 +0000] "GET /assets/Images/BatistellaLogo.jpg HTTP/1.1" 200 11132 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:13:59 +0000] "GET /assets/Images/BattistellaLogo2.jpg HTTP/1.1" 200 4742 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:13:59 +0000] "GET /assets/Images/favicon.svg HTTP/1.1" 200 309 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:13:59 +0000] "GET /assets/Images/IconsMarcas/exact_color_logo.ico HTTP/1.1" 200 159518 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:13:59 +0000] "GET /assets/Images/IconsMarcas/TopNutrition_Brand_white_vFF.ico HTTP/1.1" 200 129950 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:13:59 +0000] "GET /assets/Images/IconsMarcas/CariAmici_color_logo.ico HTTP/1.1" 200 159518 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:13:59 +0000] "GET /assets/Images/IconsMarcas/zimpi.ico HTTP/1.1" 200 137342 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:13:59 +0000] "GET /assets/Images/IconsMarcas/kenl.ico HTTP/1.1" 200 197534 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:13:59 +0000] "GET /assets/Images/IconsMarcas/Fishy.ico HTTP/1.1" 200 47133 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:13:59 +0000] "GET /assets/Images/IconsMarcas/compinches.ico HTTP/1.1" 200 180638 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:13:59 +0000] "GET /assets/Images/IconsMarcas/ganacan.ico HTTP/1.1" 200 54974 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:13:59 +0000] "GET /assets/Images/IconsMarcas/9live_color_logo.ico HTTP/1.1" 200 159518 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:13:59 +0000] "GET /assets/Images/IconsMarcas/Odwalla_color_logo-150x89-1.ico HTTP/1.1" 200 55242 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:13:59 +0000] "GET /assets/Images/IconsMarcas/ganacat.ico HTTP/1.1" 200 51806 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:14:00 +0000] "GET /assets/Images/favicon.svg HTTP/1.1" 200 309 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:26:20 +0000] "GET /assets/Images/BattistellaLogo2.jpg HTTP/1.1" 200 4742 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:26:20 +0000] "GET /assets/Images/BatistellaLogo.jpg HTTP/1.1" 200 11132 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:26:20 +0000] "GET /assets/Images/favicon.svg HTTP/1.1" 200 309 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:26:20 +0000] "GET /assets/Images/IconsMarcas/exact_color_logo.ico HTTP/1.1" 200 159518 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:26:20 +0000] "GET /assets/Images/IconsMarcas/ganacan.ico HTTP/1.1" 200 54974 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:26:20 +0000] "GET /assets/Images/IconsMarcas/ganacat.ico HTTP/1.1" 200 51806 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:26:20 +0000] "GET /assets/Images/IconsMarcas/zimpi.ico HTTP/1.1" 200 137342 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:26:20 +0000] "GET /assets/Images/IconsMarcas/TopNutrition_Brand_white_vFF.ico HTTP/1.1" 200 129950 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:26:20 +0000] "GET /assets/Images/IconsMarcas/Fishy.ico HTTP/1.1" 200 47133 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:26:20 +0000] "GET /assets/Images/IconsMarcas/CariAmici_color_logo.ico HTTP/1.1" 200 159518 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:26:20 +0000] "GET /assets/Images/IconsMarcas/9live_color_logo.ico HTTP/1.1" 200 159518 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:26:20 +0000] "GET /assets/Images/IconsMarcas/compinches.ico HTTP/1.1" 200 180638 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:26:20 +0000] "GET /assets/Images/IconsMarcas/kenl.ico HTTP/1.1" 200 197534 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:26:20 +0000] "GET /assets/Images/IconsMarcas/Odwalla_color_logo-150x89-1.ico HTTP/1.1" 200 55242 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:36:12 +0000] "GET /assets/Images/BattistellaLogo2.jpg HTTP/1.1" 200 4742 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:36:12 +0000] "GET /assets/Images/BatistellaLogo.jpg HTTP/1.1" 200 11132 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:36:12 +0000] "GET /assets/Images/favicon.svg HTTP/1.1" 200 309 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:36:12 +0000] "GET /assets/Images/IconsMarcas/ganacat.ico HTTP/1.1" 200 51806 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:36:12 +0000] "GET /assets/Images/IconsMarcas/kenl.ico HTTP/1.1" 200 197534 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:36:12 +0000] "GET /assets/Images/IconsMarcas/CariAmici_color_logo.ico HTTP/1.1" 200 159518 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:36:12 +0000] "GET /assets/Images/IconsMarcas/ganacan.ico HTTP/1.1" 200 54974 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:36:12 +0000] "GET /assets/Images/IconsMarcas/Fishy.ico HTTP/1.1" 200 47133 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:36:12 +0000] "GET /assets/Images/IconsMarcas/9live_color_logo.ico HTTP/1.1" 200 159518 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:36:12 +0000] "GET /assets/Images/IconsMarcas/exact_color_logo.ico HTTP/1.1" 200 159518 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:36:12 +0000] "GET /assets/Images/IconsMarcas/TopNutrition_Brand_white_vFF.ico HTTP/1.1" 200 129950 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:36:12 +0000] "GET /assets/Images/IconsMarcas/zimpi.ico HTTP/1.1" 200 137342 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:36:12 +0000] "GET /assets/Images/IconsMarcas/compinches.ico HTTP/1.1" 200 180638 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:36:12 +0000] "GET /assets/Images/IconsMarcas/Odwalla_color_logo-150x89-1.ico HTTP/1.1" 200 55242 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:36:12 +0000] "GET /assets/Images/favicon.svg HTTP/1.1" 200 309 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:38:31 +0000] "GET /assets/Images/BatistellaLogo.jpg HTTP/1.1" 200 11132 "https://www.batistellaycia.shop/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:38:40 +0000] "GET /assets/Images/BatistellaLogo.jpg HTTP/1.1" 200 11132 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:38:40 +0000] "GET /assets/Images/BattistellaLogo2.jpg HTTP/1.1" 200 4742 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:38:40 +0000] "GET /assets/Images/IconsMarcas/Fishy.ico HTTP/1.1" 200 47133 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:38:40 +0000] "GET /assets/Images/IconsMarcas/TopNutrition_Brand_white_vFF.ico HTTP/1.1" 200 129950 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:38:40 +0000] "GET /assets/Images/IconsMarcas/zimpi.ico HTTP/1.1" 200 137342 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:38:40 +0000] "GET /assets/Images/IconsMarcas/9live_color_logo.ico HTTP/1.1" 200 159518 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:38:40 +0000] "GET /assets/Images/IconsMarcas/ganacat.ico HTTP/1.1" 200 51806 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:38:40 +0000] "GET /assets/Images/IconsMarcas/kenl.ico HTTP/1.1" 200 197534 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:38:40 +0000] "GET /assets/Images/IconsMarcas/Odwalla_color_logo-150x89-1.ico HTTP/1.1" 200 55242 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:38:40 +0000] "GET /assets/Images/IconsMarcas/CariAmici_color_logo.ico HTTP/1.1" 200 159518 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:38:40 +0000] "GET /assets/Images/IconsMarcas/exact_color_logo.ico HTTP/1.1" 200 159518 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:38:40 +0000] "GET /assets/Images/IconsMarcas/ganacan.ico HTTP/1.1" 200 54974 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.27.0.1 - - [03/Jun/2025:20:38:40 +0000] "GET /assets/Images/IconsMarcas/compinches.ico HTTP/1.1" 200 180638 "https://www.batistellaycia.shop/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
181.4.8.15 - - [03/Jun/2025:20:39:09 +0000] "GET /assets/Images/BattistellaLogo2.jpg HTTP/1.1" 200 4742 "https://www.batistellaycia.shop/checkout/summary" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
181.4.8.15 - - [03/Jun/2025:20:39:09 +0000] "GET /assets/Images/BatistellaLogo.jpg HTTP/1.1" 200 11132 "https://www.batistellaycia.shop/checkout/summary" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
181.4.8.15 - - [03/Jun/2025:20:39:09 +0000] "GET /assets/Images/favicon.svg HTTP/1.1" 200 309 "https://www.batistellaycia.shop/checkout/summary" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
181.4.8.15 - - [03/Jun/2025:20:39:09 +0000] "GET /assets/Images/IconsMarcas/TopNutrition_Brand_white_vFF.ico HTTP/1.1" 200 129950 "https://www.batistellaycia.shop/checkout/summary" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
181.4.8.15 - - [03/Jun/2025:20:39:09 +0000] "GET /assets/Images/IconsMarcas/9live_color_logo.ico HTTP/1.1" 200 159518 "https://www.batistellaycia.shop/checkout/summary" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
181.4.8.15 - - [03/Jun/2025:20:39:09 +0000] "GET /assets/Images/IconsMarcas/kenl.ico HTTP/1.1" 200 197534 "https://www.batistellaycia.shop/checkout/summary" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
181.4.8.15 - - [03/Jun/2025:20:39:09 +0000] "GET /assets/Images/IconsMarcas/exact_color_logo.ico HTTP/1.1" 200 159518 "https://www.batistellaycia.shop/checkout/summary" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
181.4.8.15 - - [03/Jun/2025:20:39:09 +0000] "GET /assets/Images/IconsMarcas/ganacat.ico HTTP/1.1" 200 51806 "https://www.batistellaycia.shop/checkout/summary" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
181.4.8.15 - - [03/Jun/2025:20:39:09 +0000] "GET /assets/Images/IconsMarcas/zimpi.ico HTTP/1.1" 200 137342 "https://www.batistellaycia.shop/checkout/summary" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
181.4.8.15 - - [03/Jun/2025:20:39:09 +0000] "GET /assets/Images/IconsMarcas/Fishy.ico HTTP/1.1" 200 47133 "https://www.batistellaycia.shop/checkout/summary" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
181.4.8.15 - - [03/Jun/2025:20:39:09 +0000] "GET /assets/Images/IconsMarcas/CariAmici_color_logo.ico HTTP/1.1" 200 159518 "https://www.batistellaycia.shop/checkout/summary" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
